px,vy,vy_avg,sigma,Height
55°,206.86514453740668,65.1161048913047,14.832616895869206,15 Rs
65°,202.08403309514688,65.49690138858945,13.581344690336492,15 Rs
75°,198.06740724019372,69.39838267976054,4.846641829732958,15 Rs
85°,212.7764297035734,70.0347026815906,11.48207847814247,15 Rs
95°,212.78418811015362,66.66796169123842,9.95589194722936,15 Rs
105°,255.85558685669946,84.08212964505655,29.53855630243559,15 Rs
115°,221.11759293050596,72.4943048916238,15.078952147151446,15 Rs
125°,207.20963805613056,67.66700954021537,7.067530173568695,15 Rs
135°,211.9358244184042,74.25406252080275,13.124642387782444,15 Rs
145°,206.9106003330192,67.70584809951781,11.990627917101461,15 Rs
155°,201.92790331325904,66.33129569931613,13.45300096450881,15 Rs
165°,207.60301520827855,70.52618236382268,7.252890943268299,15 Rs
175°,230.73537321477252,68.33125028236226,6.230944117259639,15 Rs
185°,212.4303964500168,69.69372385707891,14.233497728133054,15 Rs
195°,219.8974123247288,77.87431565830923,17.490774856305592,15 Rs
205°,209.081841066389,72.17225077383124,10.077888445541895,15 Rs
215°,216.48034627258977,67.866307762973,6.916696431189935,15 Rs
225°,211.10635896776017,63.680365468273244,6.9881990774171925,15 Rs
235°,212.19496399744745,67.52368744859452,9.68742480548353,15 Rs
245°,203.5009117130009,65.55502258024389,13.730858253719223,15 Rs
255°,214.46765204835665,74.28149364313573,5.416276422221015,15 Rs
265°,231.24367632174136,77.02477519069922,7.139893271516444,15 Rs
275°,216.28385860620256,67.77368393903562,10.364166261121376,15 Rs
285°,201.00121502443938,65.16502306520236,9.517108640093571,15 Rs
295°,196.5160072328399,68.54931968103485,12.862981776990722,15 Rs
305°,180.23209616710287,59.99721784201861,11.757654293136687,15 Rs
315°,205.44528926934822,60.53537432263931,24.504810099203368,15 Rs
325°,215.01929887171943,65.10127006723854,13.98456295749963,15 Rs
335°,232.90314279458923,76.31008833321043,8.513763168225301,15 Rs
345°,218.60567602323758,69.46485450223035,19.414133538196584,15 Rs
355°,206.79670360306977,67.28509252085509,13.48426487161027,15 Rs
